講義名,開講期間,曜日・時限,講義室,URL
線形代数基礎演習,第1・2,水5,工-54,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_RT1006_ja_JP.html
力学基礎,第1・2,水5,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_RT2001-4_ja_JP.html
機械工学概論,第1・2,水5,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T62150_ja_JP.html
機械工学概論,第1・2,水5,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T64150_ja_JP.html
科学技術英語,第1・2,水5,工-50,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71290_ja_JP.html
建築生産,第1・2,水5,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76540_ja_JP.html
機械設計製図Ⅰ,第1・2,水5,"システムデザイン演習室Ⅰ, システムデザイン演習室Ⅱ",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71030_ja_JP.html
日本近現代文学Ⅰ,第1・2,水5,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC221310_ja_JP.html
バイオロボット工学特論,第1・2,水5,工-51,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40230_ja_JP.html
調節生理学輪講1A,第1・2,水5,理-2番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12300_ja_JP.html
調節生理学輪講2A,第1・2,水5,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12320_ja_JP.html
科学技術日本語Ⅰ　(前期)(小林),第1・2,水5,工-セミナー室7,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM80030_ja_JP.html
破壊力学特論,第1・2,水5,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250004/250004_D40030_ja_JP.html
微視的挙動に基づいたセメント系材料特論,第1・2,水5,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250005/250005_D50410_ja_JP.html
教育学演習 IIIＡ,第1・2,水6,コモ棟コラボルーム,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32231_ja_JP.html
教育学演習 IIIＢ,第1・2,水6,コモ棟教育学第１演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32232_ja_JP.html
教育臨床演習 IA,第1・2,水6,Ｈ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44155_ja_JP.html
演習　第１・２ターム,第1・2,水6,経-情報教育教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A80002_ja_JP.html
コーポレートガバナンスと会計,第1・2,水6,東京ＳＣ,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE322322_ja_JP.html
科学技術日本語Ⅰ　(前期)(小林),第1・2,水6,工-セミナー室7,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM80030_ja_JP.html
開発経済論,第1・2,水7,東京ＳＣ,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE321205_ja_JP.html
Integrated English Skills(Writing)IIA,第1・2,木1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F43011_ja_JP.html
書道（書写）Ａ　30人制限,第1・2,木1,教育Ａ１１３プロジェクト室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y10315_ja_JP.html
調理科学,第1・2,木1,教育Ａ４２７講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24270_ja_JP.html
生徒・進路指導論　小（教・心・も）・中技・副,第1・2,木1,教育Ａ１１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34031_ja_JP.html
生徒・進路指導論　小（国・社・体）・中（国・社・体）・副,第1・2,木1,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34032_ja_JP.html
キャリア形成科目 II (教師力向上ケーススタディ演習I),第1・2,木1,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y52602_ja_JP.html
情報基礎　小（国・英・理・図）・中（国・英・理・美）,第1・2,木1,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y70001_ja_JP.html
情報基礎　小（教・音・体）・中（音・体）・特　ただし再履修者はY70001で登録すること,第1・2,木1,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y70002_ja_JP.html
固体化学,第1・2,木1,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_R13198_ja_JP.html
形態形成学Ⅱ,第1・2,木1,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0405/0405_R15118_ja_JP.html
化学基礎,第1・2,木1,理-1番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_RT3012_ja_JP.html
薄膜プロセス工学,第1・2,木1,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72270_ja_JP.html
建築と都市,第1・2,木1,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76510_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　再履修（2014年度以前入学者用） 第1・2ターム連続,第1・2,木1,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12806_ja_JP.html
基礎生体制御学2,第1・2,木1,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12040_ja_JP.html
機能分子合成特論,第1・2,木1,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240203/240203_MM23110_ja_JP.html
放電プラズマ工学特論,第1・2,木1,工-50,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240302/240302_MM32360_ja_JP.html
地盤材料学(E),第1・2,木1,工-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50050_ja_JP.html
微生物学輪講A,第1・2,木1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12200_ja_JP.html
細胞制御学輪講2A,第1・2,木1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12355_ja_JP.html
素粒子物理基礎特論,第1・2,木1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250002/250002_D20120_ja_JP.html
応用半導体工学特論,第1・2,木1,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30285_ja_JP.html
Peacebuilding,第1・2,木2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F15178_ja_JP.html
開発経済学演習 Ⅲ,第1・2,木2,教養学部-38,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F16053_ja_JP.html
国際人口移動概論,第1・2,木2,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F24086_ja_JP.html
社会学特殊講義Ⅲ,第1・2,木2,教養学部-34,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F25003_ja_JP.html
メディアコミュニケーション演習Ⅱ,第1・2,木2,教養学部-33,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F26067_ja_JP.html
British Studies Ⅰ,第1・2,木2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F44181_ja_JP.html
アメリカ研究演習Ⅰ,第1・2,木2,教養学部-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F46131_ja_JP.html
Seminar in the History of US-Japan Relations Ⅰ,第1・2,木2,教養学部304演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F46155_ja_JP.html
中国古典研究法,第1・2,木2,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F52012_ja_JP.html
生徒・進路指導論　他学部用,第1・2,木2,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_P34042_ja_JP.html
初等社会科指導法　小（教・国・英）・副,第1・2,木2,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12031_ja_JP.html
初等社会科指導法　小心・特・副,第1・2,木2,教育Ａ２１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12032_ja_JP.html
解析学研究,第1・2,木2,教育Ａ２１３講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y14160_ja_JP.html
体育測定評価論,第1・2,木2,教育Ａ１１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22250_ja_JP.html
保育学,第1・2,木2,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24370_ja_JP.html
英語学演習 IA　黒板の教室,第1・2,木2,教育Ａ１１１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28171_ja_JP.html
現代英語,第1・2,木2,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28270_ja_JP.html
特別研究IＡ（英語学演習IＡ）　黒板の教室,第1・2,木2,教育Ａ１１１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y29171_ja_JP.html
教育方法・課程論　小（算・理・体）・中（理・体）・副,第1・2,木2,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44051_ja_JP.html
教育方法・課程論　小（社・音・図・も・家）・中（音・美・技・家）・副,第1・2,木2,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44052_ja_JP.html
教育臨床演習 IIA,第1・2,木2,Ｈ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44169_ja_JP.html
栄養学（食品学を含む）,第1・2,木2,学校保健講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y60270_ja_JP.html
複素関数論,第1・2,木2,理-10番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_R11373_ja_JP.html
無機化学Ⅱ,第1・2,木2,理-1番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_R13094_ja_JP.html
分子微生物学,第1・2,木2,理-11番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0404/0404_R14118_ja_JP.html
生物学基礎,第1・2,木2,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0404/0404_RT4011_ja_JP.html
力学基礎,第1・2,木2,教育Ａ１１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_RT2001-2_ja_JP.html
力学基礎,第1・2,木2,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_RT2001-5_ja_JP.html
生物学基礎,第1・2,木2,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_RT4001-1_ja_JP.html
マイクロ波工学,第1・2,木2,全学講義棟 1-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72410_ja_JP.html
電気電子設計製図,第1・2,木2,工-53,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72520_ja_JP.html
オペレーティングシステム,第1・2,木2,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73140_ja_JP.html
信号とシステム,第1・2,木2,工-56,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73550_ja_JP.html
環境化学Ⅰ,第1・2,木2,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74500_ja_JP.html
英語Ⅰ(General English Skills 1a)　再履修（2015年度以前入学者用）　第1･2ターム連続,第1・2,木2,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11805_ja_JP.html
ドイツ語Ⅱa（講読）　隔年開講,第1・2,木2,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX21212_ja_JP.html
市民と憲法　教育学部用（小社・中社・乳・養） 第１・２ターム 木２,第1・2,木2,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ202116_ja_JP.html
埋蔵文化財インターンシップ,第1・2,木2,教養学部各研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC020310_ja_JP.html
国際開発論基礎Ⅰ,第1・2,木2,教養学部棟4階国際関係ﾌﾟﾛｼﾞｪｸﾄ室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC110171_ja_JP.html
日本語表現論Ⅰ,第1・2,木2,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC222380_ja_JP.html
＊Seminar in the History of US-Japan Relation Ⅰ,第1・2,木2,全学講義棟 1-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BCF46155_ja_JP.html
基礎分子生物学6,第1・2,木2,理-11番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240101/240101_MM11230_ja_JP.html
生殖医療学特論,第1・2,木2,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12180_ja_JP.html
場の理論Ⅱ,第1・2,木2,理-2番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240201/240201_MM21120_ja_JP.html
半導体工学特論,第1・2,木2,工-50,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240302/240302_MM32180_ja_JP.html
知識表現特論,第1・2,木2,工-51,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240303/240303_MM33130_ja_JP.html
交通システム特論(E),第1・2,木2,工-52,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50170_ja_JP.html
微生物学輪講A,第1・2,木2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12200_ja_JP.html
細胞制御学輪講2A,第1・2,木2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240102/240102_MM12355_ja_JP.html
量子多体論,第1・2,木2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250002/250002_D20715_ja_JP.html
画像システム特論,第1・2,木2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30441_ja_JP.html
光散乱応用センシング特論,第1・2,木2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250003/250003_D30720_ja_JP.html
地震防災工学特論,第1・2,木2,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250005/250005_D50430_ja_JP.html
詩歌から考える日本語表現,第1・2,木3,全学講義棟 1-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F05001_ja_JP.html
社会学入門,第1・2,木3,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F21021_ja_JP.html
現代社会学演習Ⅲ,第1・2,木3,教養学部-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F26023_ja_JP.html
論理学入門Ｂ,第1・2,木3,教養学部-22,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F31022_ja_JP.html
美学演習Ⅰ,第1・2,木3,教養学部-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F36061_ja_JP.html
ドイツ語作文ⅠＡ,第1・2,木3,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F43051_ja_JP.html
古典文学特講Ａ,第1・2,木3,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y10261_ja_JP.html
算数科指導法　小（算・理・体）・特・副,第1・2,木3,教育Ａ１１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y14032_ja_JP.html
代数学Ｃ,第1・2,木3,教育Ａ１１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y14065_ja_JP.html
力学,第1・2,木3,"教育Ａ２１１講義室, 教育Ａ４２６講義室, 理-3番講義室",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y16090_ja_JP.html
木管楽器演習Ａ,第1・2,木3,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18351_ja_JP.html
初等体育科指導法　小（社・図）・副,第1・2,木3,教育Ａ２１３講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22032_ja_JP.html
教育学概説Ａ（本質）　小（教・国・英）,第1・2,木3,教育Ａ３２４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32010_ja_JP.html
教育学概説Ａ（本質）　小（心・も・家）,第1・2,木3,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32013_ja_JP.html
教育学概説Ａ（本質）　小（社・理）,第1・2,木3,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32015_ja_JP.html
教育学概説Ａ（本質）　小（算・音・図・体）,第1・2,木3,全学講義棟 1-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32016_ja_JP.html
教育学概説Ａ（本質）　中学校コース,第1・2,木3,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32017_ja_JP.html
教育学概説Ａ（本質）　乳・特・養,第1・2,木3,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32018_ja_JP.html
乳児保育概論,第1・2,木3,コモ棟３０９講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38760_ja_JP.html
学習指導と学校図書館,第1・2,木3,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y43521_ja_JP.html
生活科指導法　小（心・英・音）・副,第1・2,木3,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44111_ja_JP.html
生活科指導法　小（教・国）・副,第1・2,木3,教育Ａ２１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44112_ja_JP.html
洋楽受容史　15人制限,第1・2,木3,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y55115_ja_JP.html
線形代数学Ａ演習,第1・2,木3,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_R11060_ja_JP.html
解析学Ｃ,第1・2,木3,理-10番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_R11248_ja_JP.html
物理数学Ⅰ,第1・2,木3,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12262_ja_JP.html
英語化学文献講読Ⅱ,第1・2,木3,理-1番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_R13151_ja_JP.html
分子生物学概説,第1・2,木3,理-11番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0404/0404_R14033_ja_JP.html
基礎生体制御学実験,第1・2,木3,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0405/0405_R15021_ja_JP.html
化学基礎,第1・2,木3,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_RT3001-3_ja_JP.html
基礎電子物性,第1・2,木3,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72130_ja_JP.html
データマイニング演習,第1・2,木3,"工-54, 工学部情報工学科棟-端末演習室",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73410_ja_JP.html
技術者と社会デザイン,第1・2,木3,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76450_ja_JP.html
課題探索型セミナーⅠ,第1・2,木3,"工-セミナー室2, 工-演習室2, 工-56",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71180_ja_JP.html
機械工作実習,第1・2,木3,実習工場,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71190_ja_JP.html
電気電子物理工学実験Ⅱ,第1・2,木3,"工-演習室1, 情報メディア端末室(2), 工-50, 電気電子実験室",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72090_ja_JP.html
建築設計製図Ⅱ,第1・2,木3,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76570_ja_JP.html
応用化学実験Ⅰ,第1・2,木3,"工-21, 工-22",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74420_ja_JP.html
応用化学実験Ⅲ,第1・2,木3,工-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74440_ja_JP.html
英語Ⅰ(General English Skills 1a)　再履修（2015年度以前入学者用）　第1･2ターム連続,第1・2,木3,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11806_ja_JP.html
AL2（Introduction to International Relations）　第１・２ターム 木３,第1・2,木3,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ600121_ja_JP.html
国際政治経済学研究基礎Ⅱ,第1・2,木3,教養学部棟4階国際関係ﾌﾟﾛｼﾞｪｸﾄ室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC110162_ja_JP.html
ヨーロッパ文化構造論Ⅱ,第1・2,木3,教養学部各研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC125520_ja_JP.html
日本近代史Ⅱ,第1・2,木3,教育機構棟4階大学院演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC221860_ja_JP.html
日本語教育学Ⅰ,第1・2,木3,教養学部各研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC222310_ja_JP.html
中国思想Ⅰ,第1・2,木3,教養学部-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC223710_ja_JP.html
解析学特論Ⅲ,第1・2,木3,理-10番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240301/240301_MM31050_ja_JP.html
情報理論特論,第1・2,木3,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240303/240303_MM33180_ja_JP.html
生体制御学特論5,第1・2,木3,工-セミナー室6,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240100/240100_MM10100_ja_JP.html
科学技術日本語Ⅲ　(前期)(梶山),第1・2,木3,工-演習室3,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM80050_ja_JP.html
機能表面科学特論,第1・2,木3,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250002/250002_D20640_ja_JP.html
ロボット創造学特論,第1・2,木3,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250004/250004_D40211_ja_JP.html
国際協力論入門,第1・2,木4,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F11052_ja_JP.html
美学研究法Ａ,第1・2,木4,教養学部-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F32041_ja_JP.html
音声学Ⅰ,第1・2,木4,教養学部-34,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F34061_ja_JP.html
ドイツ語圏文化演習Ⅳ,第1・2,木4,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F46004_ja_JP.html
日本語教育学演習Ⅳ,第1・2,木4,教養学部-35,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F56014_ja_JP.html
中国古典演習Ⅰ,第1・2,木4,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F56061_ja_JP.html
＊国際人口移動研究Ⅱ,第1・2,木4,教養学部304演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_FB21038_ja_JP.html
＊考古学研究Ⅰ,第1・2,木4,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_FB31053_ja_JP.html
*Topics in Japanese Studies Ⅰ,第1・2,木4,教養学部-38,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_FB52188_ja_JP.html
倫理学概論,第1・2,木4,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12410_ja_JP.html
情報数理,第1・2,木4,教育Ａ２１３講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y14220_ja_JP.html
生理学（運動生理学を含む）　Y60281と同時限,第1・2,木4,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22440_ja_JP.html
英語学概論Ａ,第1・2,木4,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28130_ja_JP.html
英会話 IIA,第1・2,木4,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28201_ja_JP.html
教育学演習 IE,第1・2,木4,コモ棟教育学第３演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32215_ja_JP.html
教育学演習 IIIＥ,第1・2,木4,コモ棟教育学第３演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32235_ja_JP.html
教育学演習 IIIＦ,第1・2,木4,コモ棟教育学第２演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y32236_ja_JP.html
心理学演習 IA,第1・2,木4,Ｂ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34133_ja_JP.html
情報メディアの活用,第1・2,木4,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y43541_ja_JP.html
教育臨床演習 IA,第1・2,木4,Ｈ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44159_ja_JP.html
教育臨床演習 IIA,第1・2,木4,Ｈ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44167_ja_JP.html
