講義名,開講期間,曜日・時限,講義室,URL
演習Ⅳ　第１ターム,第1,月4,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07439_ja_JP.html
研究科目「経済学史」　第１ターム、3年生以上履修可,第1,月4,経-A303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A70003_ja_JP.html
材料工学Ⅱ　月４・水４の週２回授業,第1,月4,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71310_ja_JP.html
構造力学Ⅰ　月４・水４の週２回授業,第1,月4,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76160_ja_JP.html
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　月４・水４,第1,月4,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11403_ja_JP.html
英語Ⅰ(Academic Communication Skills 1a)　ACS 第1ターム　月４・水４,第1,月4,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11503_ja_JP.html
ヨーロッパ社会史Ⅱ,第1,月4,教養学部401演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC124420_ja_JP.html
経済学史,第1,月4,経-A303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE322160_ja_JP.html
初等家庭科概説　第1ターム、小（算・理・も・家）・副2年以上,第1,月5,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24010_ja_JP.html
初等家庭科概説　第1ターム、小心・特・副2年以上,第1,月5,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24011_ja_JP.html
初等英語科概説　第1ターム、小（教・国・英・社・音・図・体）、副2年以上,第1,月5,遠隔授業,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28001_ja_JP.html
経済政策論　第１ターム,第1,月5,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02112_ja_JP.html
国際比較経営論　第１ターム,第1,月5,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03108_ja_JP.html
会社法　第１ターム,第1,月5,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05108_ja_JP.html
演習Ⅰ　第１ターム,第1,月5,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07131_ja_JP.html
演習Ⅰ　第１ターム,第1,月5,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07133_ja_JP.html
演習Ⅰ　第１ターム,第1,月5,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07135_ja_JP.html
演習Ⅰ　第１ターム,第1,月5,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07139_ja_JP.html
演習Ⅳ　第１ターム,第1,月5,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07431_ja_JP.html
演習Ⅳ　第１ターム,第1,月5,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07433_ja_JP.html
演習Ⅳ　第１ターム,第1,月5,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07435_ja_JP.html
演習Ⅳ　第１ターム,第1,月5,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07439_ja_JP.html
研究科目「経済学史」　第１ターム、3年生以上履修可,第1,月5,経-A303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A70003_ja_JP.html
経済学史,第1,月5,経-A303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE322160_ja_JP.html
政治経済学研究法,第1,火1,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F12012_ja_JP.html
社会保障論　第１ターム,第1,火1,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03110_ja_JP.html
